id,member_number,loan_type,original_balance,current_balance,interest_rate,origination_date,maturity_date,status
317,MBR00359,mortgage,357848.91,140500.95,0.0397,2005-03-25,2031-03-25,delinquent
318,MBR00148,personal,30985.64,28657.93,0.1693,2024-05-31,2029-05-31,current
319,MBR00460,mortgage,575291.47,360544.54,0.0497,2016-08-24,2044-08-24,current
320,MBR00048,heloc,69943.65,61699.71,0.0932,2024-11-09,2042-11-09,current
321,MBR00298,auto,16718.63,1185.2,0.0596,2023-05-09,2030-05-09,delinquent
322,MBR00338,mortgage,544577.29,278678.46,0.0656,2025-08-03,2054-08-03,current
323,MBR00010,mortgage,250846.94,27543.93,0.0342,2012-09-10,2038-09-10,current
324,MBR00103,mortgage,132695.64,64447.8,0.0378,2016-12-13,2046-12-13,current
325,MBR00488,auto,31807.67,24616.11,0.0784,2015-12-25,2019-12-25,charged_off
326,MBR00154,mortgage,235628.18,44405.58,0.0656,2021-02-14,2049-02-14,current
327,MBR00478,mortgage,516465.88,513465.1,0.0355,2024-10-01,2044-10-01,current
328,MBR00138,personal,4762.63,2757.3,0.0743,2022-06-27,2025-06-27,charged_off
329,MBR00433,mortgage,96435.4,1646.28,0.0678,2024-11-14,2045-11-14,current
330,MBR00290,mortgage,337695.15,168219.94,0.0429,2020-12-10,2039-12-10,delinquent
331,MBR00273,personal,14220.85,13920.05,0.1752,2025-12-27,2026-12-27,current
332,MBR00449,mortgage,479040.17,315140.89,0.032,2024-04-07,2046-04-07,delinquent
333,MBR00219,personal,15767.17,3769.93,0.1009,2011-07-24,2014-07-24,charged_off
334,MBR00051,auto,13387.26,3122.88,0.0492,2011-04-22,2018-04-22,charged_off
335,MBR00051,personal,34804.74,27899.05,0.1432,2014-08-16,2016-08-16,charged_off
336,MBR00332,personal,28538.38,212.56,0.1371,2016-08-16,2021-08-16,charged_off
337,MBR00402,mortgage,409928.14,394200.66,0.0347,2020-08-29,2042-08-29,delinquent
338,MBR00362,heloc,112312.71,69594.27,0.0639,2014-10-14,2033-10-14,current
339,MBR00429,personal,34324.23,32218.45,0.1069,2017-09-13,2019-09-13,charged_off
340,MBR00108,mortgage,106860.85,6091.2,0.0407,2013-10-08,2031-10-08,current
341,MBR00187,auto,54230.84,18415.13,0.0419,2024-02-17,2028-02-17,current
342,MBR00325,auto,20408.76,15260.38,0.0449,2005-09-12,2012-09-12,charged_off
343,MBR00488,mortgage,253826.72,80472.84,0.0338,2010-09-04,2028-09-04,current
344,MBR00479,auto,24831.28,11698.96,0.077,2020-08-17,2025-08-17,charged_off
345,MBR00438,mortgage,418129.14,47167.56,0.0533,2006-10-11,2027-10-11,current
346,MBR00381,personal,5092.05,4109.65,0.1764,2018-03-20,2023-03-20,charged_off
347,MBR00173,mortgage,131291.45,1359.57,0.042,2017-02-04,2042-02-04,current
348,MBR00321,personal,2489.58,1860.9,0.1159,2024-04-22,2026-04-22,current
349,MBR00029,personal,31831.7,11782.04,0.1683,2023-08-25,2026-08-25,current
350,MBR00124,mortgage,331066.72,100410.47,0.0366,2016-05-01,2031-05-01,current
